"","TRACTFIPS","POPULATION","AREA","DRGT_EVNTS","DRGT_AFREQ","DRGT_HLRA","HWAV_EVNTS","HWAV_AFREQ","HWAV_HLRA","LTNG_EVNTS","LTNG_AFREQ","SWND_EVNTS","SWND_AFREQ","SWND_HLRA","WFIR_AFREQ","WFIR_EXPA","WFIR_EXPT","WFIR_EXP_AREA","WFIR_HLRB","WFIR_HLRP","WFIR_HLRA","WFIR_EALT","WFIR_EALS","WFIR_ALRA","WFIR_RISKV","WFIR_RISKS","WFRI_R","TRCT_WAREA","TRCT_SLOPE","CNTY_ELEV","CNTY_TEMP","CNTY_PRECIP","TRCT_VEGLF"
"1","06001400100",3038,2.70888384,1036,47.0909090909091,0.002610779,24.3331784184412,1.50669916102763,0.000105742,11,0.4984761,2,0.033031767,2.11415e-05,0.003024689,0,1658428403.06318,0.06007359,0.4,0.000223705,8.46923e-07,89636.725095158,93.8021000558905,0,57589.2275326997,91.7197830947058,1,0,6.61950456984017,102,60.5,14.46,"Shrub"
"2","06001400200",1995,0.2287584,1036,47.0909090909091,0.002610779,8,0.495357388,0.000105742,11,0.465812952,1,0.028775229,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,1.97260271935236,102,60.5,14.46,"Tree"
"3","06001400300",5504,0.4332276,1036,47.0909090909091,0.002610779,8,0.495357861,0.000105742,11,0.473830742,1,0.027851178,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,1.07449718314786,102,60.5,14.46,"Tree"
"4","06001400400",4112,0.27929382,1036,47.0909090909091,0.002610779,8,0.495356902,0.000105742,11,0.478198769,2,0.03070241,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.513131849309231,72,60.5,14.46,"Developed"
"5","06001400500",3644,0.23065536,1036,47.0909090909091,0.002610779,8,0.495356598,0.000105742,10,0.439325713,2,0.032045258,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.268417626983893,72,60.5,14.46,"Tree"
"6","06001400600",1788,0.11616384,1036,47.0909090909091,0.002610779,8,0.495356037,0.000105742,11,0.5,1,0.027851076,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.64137384421136,72,60.5,14.46,"Developed"
"7","06001400700",4495,0.33764328,1036,47.0909090909091,0.002610779,8,0.495356037,0.000105742,11,0.494908617,1,0.028788997,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.0847956712047259,72,60.5,14.46,"Developed"
"8","06001400800",3890,0.28306863,1036,47.0909090909091,0.002610779,8,0.495356037,0.000105742,10,0.444290916,2,0.032456531,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.117392997563996,1,60.5,14.46,"Tree"
"9","06001400800",3890,0.28306863,1036,47.0909090909091,0.002610779,8,0.495356037,0.000105742,10,0.444290916,2,0.032456531,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.117392997563996,1,60.5,14.46,"Tree"
"10","06001400900",2514,0.15901587,1036,47.0909090909091,0.002610779,8,0.495358503,0.000105742,11,0.500002489,1,0.027851215,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.0891860990009644,1,60.5,14.46,"Developed"
"11","06001400900",2514,0.15901587,1036,47.0909090909091,0.002610779,8,0.495358503,0.000105742,11,0.500002489,1,0.027851215,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.0891860990009644,1,60.5,14.46,"Developed"
"12","06001401000",6015,0.44811,1036,47.0909090909091,0.002610779,8,0.495356037,0.000105742,11,0.5,1,0.027851076,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.585692112955927,72,60.5,14.46,"Developed"
"13","06001401100",4966,0.34059948,1036,47.0909090909091,0.002610779,8,0.495357274,0.000105742,11,0.500001248,1,0.027851145,2.11415e-05,0,0,0,0,0.4,0.000223705,8.46923e-07,0,0,0,0,0,0,0,0.722420362283274,72,60.5,14.46,"Developed"
