OBJECTID,Assessment_name,Spatial_extent,Spatial_resolution,Description,Fire_modeling,Values_,Documentation,Data,Online_map,Contact,Prepared_by,Prepared_for,Revision_date,ArcGIS_online_data,Assessment_type,Property,Population,Infrastructure,Water,Vegetation,Air_Quality,Agriculture,Wildlife,Recreation,Culture,LANDFIRE_vintage,Fire_data,Shape_Length,Shape_Area
1,Wildfire Risk to Communities,United States,30,"The Wildfire Risk to Communities website contains interactive maps and graphs to help various municipal, county, and state agencies; land use planners; fire managers; and fire collaboratives better understand their communities' risk to wildfire and how to reduce it. The assessment was designed to compare wildfire risk across multiple communities rather than assess risk at a local scale. The methods largely follow Scott and others (2013). Fire modeling utilized a combination of FlamMap5 and FSim algorithms with input data from various national scale datasets (2014 LANDFIRE v. 1.4.0, 1985-2014 National Weather Service, 1992-2015 fire occurrence, and 2014-2020 U.S. Census Bureau). Data layers include (1) risk to potential structures, (2) conditional risk to potential structures, (3) exposure type, (4) burn probability, (5) conditional flame length, (6) flame length exceedance probabilities, and (7) wildfire hazard potential. All the data are available for download as raster layers on the wildfirerisk.org website under the Download tab.

Scott, J.H., Thompson, M.P., and Calkin, D.E., 2013, A wildfire risk assessment framework for land and resource management: Gen. Tech. Rep. RMRS-GTR-315. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 83 p., v. 315. https://www.fs.usda.gov/treesearch/pubs/56265","This assessment used a combination of FlamMap5 and FSim, see Scott and others (2013) for details.

Scott, J.H., Thompson, M.P., and Calkin, D.E., 2013, A wildfire risk assessment framework for land and resource management: Gen. Tech. Rep. RMRS-GTR-315. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 83 p., v. 315. https://www.fs.usda.gov/treesearch/pubs/56265",People and property,https://wildfirerisk.org,"https://wildfirerisk.org/download/
",https://livingatlas.arcgis.com/en/browse/?q=%22Wildfire%20Risk%20to%20Communities%22#d=2&q=%22Wildfire%20Risk%20to%20Communities%22&type=layers,"Frank Fay - frank.fay@usda.gov, Jim Menakis - james.menakis@usda.gov, and Greg Dillon - greg.dillon@usda.gov",U.S. Forest Service and Pyrologix,U.S. Forest Service,20230215,yes,risk,1,1,0,0,0,0,0,0,0,0,2014,1992-2015,1391.350418,1103.606384
2,Wildfire Hazard Potential for the United States,United States (3rd edition (2020) includes Alaska and Hawaii).,270,"The Wildfire Hazard Potential (WHP) for the United States dataset is a national index that quantifies the relative potential for a wildfire that may be difficult to control to identify where fuel treatments may be needed. The latest version (3rd edition) was released in 2020 and included data for Alaska and Hawaii. The WHP data were developed as part of the Wildfire Risk to Communities assessment (https://wildfirerisk.org). Versions released before 2014 were called Wildland Fire Potential (WFP) and covered the conterminous United States. The version of LANDFIRE data and date ranges of historical fire weather vary among the versions of the WHP data (see details below). All WHP versions utilized the FSim large fire simulator (Finney and others, 2011) with LANDFIRE vegetation and fuel data and historical wildfire point locations from the Fire Program Analysis Fire-Occurrence Database (FPA-FOD, Short 2017).  However, the vintage of the data and methods sometimes varied slightly among the WHP versions. Outputs combined FSim burn probability and fire intensity into two forms: 1) continuous integer values and 2) five WHP classes of very low, low, moderate, high, and very high. The WHP dataset does not consider assets or resources and does not portray threats or risks to any values. However, the dataset can be used alongside valued assets and resource data to estimate their relative risk to wildfires.

WFP/WHP versions and LANDFIRE and FPA-FOD data used:
WFP (Dillon 2015a): LANDFIRE 2008 v1.1.0 and Short (2013) FPA-FOD 1992-2010
WHP (Dillon 2015b): LANDFIRE 2010 1.2.0 and Short (2014) FPA-FOD 1992-2012
WHP (Dillon 2018a and 2018b): LANDFIRE 2012 v1.3.0 and Short (2015) FPA-FOD 1992-2013
WHP (Dillon and Gilbertson-Day, 2020): LANDFIRE 2014 v1.4.0 and Short (2017) FPA-FOD 1992-2015

Dillon, G.K., 2015a, Wildland Fire Potential (WFP) for the conterminous United States (270-m GRID), version 2012 continuous: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2015-0045

Dillon, G.K., 2015b, Wildfire Hazard Potential (WHP) for the conterminous United States (270-m GRID), version 2014 continuous: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2015-0047

Dillon, G.K., 2018a, Wildfire Hazard Potential (WHP) for the conterminous United States (270-m GRID), version 2018 classified: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2015-0046-2

Dillon, G.K., 2018b, Wildfire Hazard Potential (WHP) for the conterminous United States (270-m GRID), version 2018 continuous: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2015-0047-2

Dillon, G.K., and Gilbertson-Day, J.W., 2020, Wildfire Hazard Potential for the United States (270-m), version 2020: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2015-0047-3

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Short, K.C., 2013, Spatial wildfire occurrence data for the United States, 1992-2011 [FPA_FOD_20130422]: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009

Short, K.C., 2014, Spatial wildfire occurrence data for the United States, 1992-2012 [FPA_FOD_20140428] (2nd Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009.2

Short, K.C., 2015, Spatial wildfire occurrence data for the United States, 1992-2013 [FPA_FOD_20150523] (3rd Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009.3

Short, K.C., 2017, Spatial wildfire occurrence data for the United States, 1992-2015 [FPA_FOD_20170508] (4th Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009.4","The latest Wildfire Hazard Potential (WHP) data were based on FSim simulations using LANDFIRE v.1.4.0 (2014) fuels data and Short (2017) 1992-2015 FPA-FOD data.

Short, K.C., 2017, Spatial wildfire occurrence data for the United States, 1992-2015 [FPA_FOD_20170508] (4th Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009.4",None,https://www.fs.usda.gov/rds/archive/catalog/RDS-2015-0047-3,https://www.fs.usda.gov/rds/archive/catalog/RDS-2015-0047-3,https://www.arcgis.com/home/item.html?id=f291ac4840984de5a0cf842d8d7a0973,Greg Dillon - greg.dillon@usda.gov,U.S. Forest Service,Use by managers and planners/public research.,20230215,yes,hazard,0,0,0,0,0,0,0,0,0,0,2014,1992-2015,1391.350418,1103.606384
3,IFTDSS - QWRA (Interagency Fuel Treatment Decision Support System - Quantitative Wildfire Risk Assessment),Conterminous United States and Alaska,30,"The Interagency Fuel Treatment Decision Support System - Quantitative Wildfire Risk Assessment (IFTDSS-QWRA) covers the continental United States and Alaska. However, it was designed for small-scale analyses rather than regional or national studies. Users can define study areas up to 12 million acres. The workflow of IFTDSS-QWRA follows the methodology presented by Scott and others (2013). Users can simulate wildfire (Landscape Burn Probability model), map values (Highly Valued Resources or Assets (HVRAs)) using reference data within IFTDSS, or data uploaded to the system, complete an exposure analysis, and complete a QWRA for their study area. These can be calculated for a single landscape or many landscapes to assess impacts from fuel treatments and other disturbances. The Landscape Burn Probability model utilizes the FlamMap (Finney, 2006) to model fire behavior.

Scott, J.H., Thompson, M.P., and Calkin, D.E., 2013, A wildfire risk assessment framework for land and resource management: Gen. Tech. Rep. RMRS-GTR-315. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 83 p., v. 315. https://www.fs.usda.gov/treesearch/pubs/56265

Finney, M., 2006, An overview of FlamMap fire modeling capabilities, in Andrews, P.L. and Butler, B.W. eds., Fuels Management - How to Measure Success: Conference Proceedings. 28-30 March 2006; Portland, OR. Proceedings RMRS-P-41 – U.S. Department of Agriculture Forest Service, Rocky Mountain Research Station. https://www.fs.usda.gov/rmrs/publications/overview-flammap-fire-modeling-capabilities",IFTDSS uses FlamMap to simulate fire spread and behavior based on user-specified inputs.,"IFTDSS-QWRA includes air quality, communities, ecosystem function, infrastructure, surface drinking water, priority vegetation, rangeland values, recreation, and wildlife. HVRAs and default response functions are listed in: https://iftdss.firenet.gov/firenetHelp/help/pageHelp/content/30-tasks/qwra/mapvalues/hvranational.htm Users can modify HVRA response functions and define weights to combine multiple HVRAs into a single risk metric.",https://iftdss.firenet.gov/firenetHelp/help/pageHelp/content/home.htm,https://iftdss.firenet.gov/firenetHelp/help/pageHelp/content/10-mapstudio/files/referencelayers.htm,,https://iftdss.firenet.gov/landing_page/support.html?TocPath=Resources%7C_____9,Federal agencies,Federal agencies,20230215,yes,decision support,1,1,1,1,1,1,1,1,1,0,2020,1979-current,1367.066363,1101.363329
4,National Burn Probability Map,United States,270,"The National Burn Probability Map provides FSim (Finney and others, 2011) burn probability and fire intensity level data for the United States.  The U.S. Forest Service developed the data and made them available to the public to assist in national planning and risk assessment efforts.  The original data (released in 2016) included the conterminous United States (Short and others, 2016).  The latest version of data (Short and others, 2020) also includes data for Alaska and Hawaii and used 1992-2015 Fire Program Analysis Fire Occurrence Data (Short 2017), LANDFIRE 2014 v1.4.0 data, and gridded weather data (Abatzoglou 2013).

Abatzoglou, J.T., 2013, Development of gridded surface meteorological data for ecological applications and modelling: International Journal of Climatology, v. 33, no. 1, p. 121–131. https://doi.org/10.1002/joc.3413

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Short, K.C., 2017, Spatial wildfire occurrence data for the United States, 1992-2015 [FPA_FOD_20170508] (4th Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2013-0009.4

Short, K.C., Finney, M.A., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2016, Spatial dataset of probabilistic wildfire risk components for the conterminous United States: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034

Short, K.C., Finney, M.A., Vogler, K.C., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2020, Spatial datasets of probabilistic wildfire risk components for the United States (270m) (2nd Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034-2","The National Burn Probability map calculated burn probabilities using FSim with 10,000-100,000 annual weather scenarios, depending on the region.",None,https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034-2,https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034-2,https://www.arcgis.com/home/item.html?id=1fb27ff2aada4a68ac8078bca4fc6480#!,Karen Short - karen.c.short@usda.gov,U.S. Forest Service,U.S. Forest Service,20230215,yes,hazard,0,0,0,0,0,0,0,0,0,0,2014,1992-2015,1367.066363,1101.363329
5,BLM Fire Risk Assessment,Conterminous United States and Alaska,90,"The U.S. Bureau of Land Management produced the U.S. Bureau of Land Management Fire Risk Assessment for use in a Five-Year Fuels Program Allocation Plan. It covers the conterminous United States and Alaska and focuses on public lands managed by the U.S. Bureau of Land Management. The assessment aimed to identify areas whose values (people, property, for example) and resources (water, wildlife, for example) are most at risk of being negatively impacted by wildfire. This assessment uses the FSim algorithm (Finney and others, 2011) to model burn probability and fire intensity levels (Short and others, 2016). Historical fire data used to parameterize the FSim simulations ranged from 1970 to 2008. FSim simulations used the LANDFIRE 2012 v1.3.0 data. The assessment then utilized a Bayesian Belief Algorithm to determine where fuel management is likely needed across U.S. Bureau of Land Management lands to address fire risk. The primary values considered in this assessment were: (1) Wildland Urban Interface-Residential Developed Populated Areas (RDPA; Haas and others, 2013), (2) Altered Fire Regimes, (3) Invasives (that strongly influence fire cycles) (NLCD, Homer and others, 2016), (4) Juniper (Juniperus sp.) and Pinon (Pinus sp.) Expansion (U.S. Bureau of Land Management, National Operations Center). All the source data, intermediate data, prepared inputs, and final outputs are under the GIS data tab in the ESRI StoryMap and available through ArcGIS online (search for U.S. Bureau of Land Management and fire).

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Haas, J.R., Calkin, D.E., and Thompson, M.P., 2013, A national approach for integrating wildfire simulation modeling into Wildland Urban Interface risk assessments within the United States: Landscape and Urban Planning, v. 119, p. 44–53. https://doi.org/10.1016/j.landurbplan.2013.06.011

Homer, C., Dewitz, J., Jin, S., Xian, G., Costello, C., Danielson, P., Gass, L., Funk, M., Wickham, J., Stehman, S., Auch, R., and Riitters, K., 2020, Conterminous United States land cover change patterns 2001–2016 from the 2016 National Land Cover Database: ISPRS Journal of Photogrammetry and Remote Sensing, v. 162, p. 184–199. https://doi.org/10.1016/j.isprsjprs.2020.02.019

Short, K.C., Finney, M.A., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2016, Spatial dataset of probabilistic wildfire risk components for the conterminous United States: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034","This assessment used FSim algorithm to simulate burn probability and fire intensity levels at the national level, using historical fire data from 1970 to 2008 and LANDFIRE 2012 v1.3.0 data as inputs. A Bayesian Belief Algorithm was then applied to identify locations on U.S. Bureau of Land Management lands where fuel management is most needed to mitigate fire risk.","The values considered to be at risk from wildfires in this assessment included public infrastructure such as transmission corridors, oil and gas pipelines, communication towers, and oil and gas wells; fire-adapted communities, including wildland-urban interface areas and Bureau of Land Management structures; and landscape resiliency factors such as altered fire regimes, invasives, and juniper and pinon expansion.",https://blm-egis.maps.arcgis.com/apps/MapSeries/index.html?appid=b1fdb5d7d9a34c29a4b1f4850a05c0fc,https://blm-egis.maps.arcgis.com/apps/webappviewer/index.html?id=5e90ec7fffc7414d9f7496603a996a61,https://blm-egis.maps.arcgis.com/apps/webappviewer/index.html?id=5e90ec7fffc7414d9f7496603a996a61,Michele Crist (mcrist@blm.gov),Bureau of Land Management,Bureau of Land Management,20230215,yes,risk,1,0,1,0,1,0,0,0,0,0,2012,1970-2008,1367.066363,1101.363329
6,National Wildfire Risk Assessment for Forest Service Lands,Conterminous United States,270,"The U.S. Forest Service completed the National Wildfire Risk Assessment for Forest Service lands in 2017 using methods from Scott and others. (2013), Scott and Thompson (2015), and Thompson and others (2016) to help inform national-level decisions about wildfire policy and resource allocation. Dillon (2020) provides additional insight into the methodology used for the project. The primary components of this project included wildfire simulation, highly valued resources and assets characterization, and an effects analysis. The model used to simulate wildfires is not stated in the National Wildfire Risk Assessment documentation, but Scott and others (2013) mentioned FSPro, FSim, and FlamMap5. The values considered in this assessment are: 1) communities, 2) infrastructure, 3) surface drinking water, 4) ecosystem function, and 5) air quality. These are then broken out into sub-categories and are assigned weighting factors. The effects analysis outputs included wildfire risk metrics such as conditional Net Value Change and expected Net Value Change. 

Dillon, G.K., 2020, Results and application of the National Wildfire Risk Assessment: In: Hood, Sharon M.; Drury, Stacy; Steelman, Toddi; Steffens, Ron, [eds.]. Proceedings of the Fire Continuum-Preparing for the future of wildland fire; 2018 May 21-24; Missoula, MT. Proceedings RMRS-P-78. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. p. 252-257., v. 78, p. 252–257. https://www.fs.usda.gov/research/treesearch/62341

Scott, J.H., and Thompson, M.P., 2015, Emerging concepts in wildfire risk assessment and management (Publ.): In: Keane, Robert E.; Jolly, Matt; Parsons, Russell; Riley, Karin. Proceedings of the large wildland fires conference; May 19-23, 2014; Missoula, MT. Proc. RMRS-P-73. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. p. 196-206., v. 73, p. 196–206. https://www.fs.usda.gov/research/treesearch/49444

Scott, J.H., Thompson, M.P., and Calkin, D.E., 2013, A wildfire risk assessment framework for land and resource management: Gen. Tech. Rep. RMRS-GTR-315. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 83 p., v. 315. https://www.fs.usda.gov/treesearch/pubs/56265

Thompson, M.P., Bowden, P., Brough, A., Scott, J.H., Gilbertson-Day, J., Taylor, A., Anderson, J., and Haas, J.R., 2016, Application of Wildfire Risk Assessment Results to Wildfire Response Planning in the Southern Sierra Nevada, California, USA: Forests, v. 7, no. 3, p. 64. https://doi.org/10.3390/f7030064

Thompson, M. P., P. Bowden, A. Brough, J. H. Scott, J. Gilbertson-Day, A. Taylor, J. Anderson, and J. R. Haas. 2016. Application of Wildfire Risk Assessment Results to Wildfire Response Planning in the Southern Sierra Nevada, California, USA. Forests 7:64. https://doi.org/10.3390/f7030064","This assessment applied fire-modeling methods described in Scott and others (2013), which uses FSPro, FlamMap5, and FSim.

Scott, J.H., Thompson, M.P., and Calkin, D.E., 2013, A wildfire risk assessment framework for land and resource management: Gen. Tech. Rep. RMRS-GTR-315. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 83 p., v. 315. https://www.fs.usda.gov/treesearch/pubs/56265","Values considered in this assessment included communities, infrastructure, surface drinking water, ecosystem function, and air quality.",https://firelab.org/project/national-wildfire-risk-assessment,,,Greg Dillon - greg.dillon@usda.gov,U.S. Forest Service,U.S. Forest Service,20230215,no,risk,1,1,1,1,1,1,0,0,0,0,2016,1992-2017,604.3303674,821.6662416
7,USFS Firesheds and Fireshed Registry,Conterminous United States,270,"The U.S. Forest Service developed the Firesheds and Fireshed Registry Portal to delineate where fires ignite and are likely to spread to communities and expose buildings. This assessment created 7,688 firesheds within the conterminous United States by dividing the landscape into regular-sized units that represent similar source levels of community exposure to wildfire based on FSim simulated wildfire perimeters (Ager and others, 2021; Finney and others, 2011; Short and others, 2020). This assessment focused primarily on fuel management and wildfire treatment strategies and how these strategies can help protect communities and their property.  U.S. Forest Service ArcGIS Online account holders can access the data through an online portal/dashboard, and the public can view information through an ArcGIS online map.  The dashboard has five main tabs that allow users to determine (1) how exposure varies among ownerships, (2) how much of a landscape has been burned or treated in the recent past, (3) the spatial patterns of exposure in developed areas including plausible extreme fire events, (4) where future management efforts are planned, and (5) how are communities exposed to extreme fire events.

Ager, A.A., Day, M.A., Ringo, C., Evers, C.R., Alcasena, F.J., Houtman, R.M., Scanlon, M., and Ellersick, T., 2021, Development and application of the fireshed registry: Gen. Tech. Rep. RMRS-GTR-425. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 47 p. https://doi.org/10.2737/RMRS-GTR-425., v. 425. https://www.fs.usda.gov/research/treesearch/62641

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Short, K.C., Finney, M.A., Vogler, K.C., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2020, Spatial datasets of probabilistic wildfire risk components for the United States (270m) (2nd Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034-2","This assessment used the FSim model to simulate 79.4 million fires for the conterminous United States using the LANDFIRE 2014 v1.4.0 fuel conditions (Short and others, 2020).

Short, K.C., Finney, M.A., Vogler, K.C., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2020, Spatial datasets of probabilistic wildfire risk components for the United States (270m) (2nd Edition): https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034-2","This assessment considers wildfire risks to wildland-urban interface building locations obtained from Microsoft and Census data. Additional wildland-urban interface data were obtained from the SILVIS Lab (Radeloff and others, 2018).

Radeloff, V.C., Helmers, D.P., Kramer, H.A., Mockrin, M.H., Alexandre, P.M., Bar-Massada, A., Butsic, V., Hawbaker, T.J., Martinuzzi, S., Syphard, A.D., and Stewart, S.I., 2018, Rapid growth of the US wildland-urban interface raises wildfire risk: Proceedings of the National Academy of Sciences, v. 115, no. 13, p. 3314. https://doi.org/10.1073/pnas.1718850115",https://www.fs.usda.gov/rmrs/projects/firesheds-and-fireshed-registry,https://www.fs.usda.gov/rds/archive/catalog/RDS-2020-0054,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_FireshedRegistry_01/MapServer,Alan Ager - alan.ager@usda.gov,U.S. Forest Service,U.S. Forest Service,20230215,yes,risk,1,0,0,0,0,0,0,0,0,0,2014,1992-2015,604.3303674,821.6662416
8,First Street Foundation Wildfire Model,Conterminous United States,30,"The First Street Foundation Wildfire Model estimates wildfire exposure at a property-by-property scale across the conterminous United States at a 30-m resolution.  This assessment defined property-level risk as the probability that a property experienced a wildfire.  Aggregated property-level risk for infrastructure, commercial properties, and social facilities provides community-level risk measures. This risk assessment is unique because it is commercial but built from Federally funded wildfire models and datasets.  Their analysis approach is similar to Finney and others (2011) and Thompson and others (2011) but at 30-m resolution.  This assessment used LANDFIRE v2.0.0 (2016) data and mapped the wildland-urban interface (WUI) using National Land Cover Data (Homer and others, 2020) and building footprints.  The assessment replaced non-burnable WUI vegetation with custom WUI fuel models.  It used the ELMFIRE model to generate wildfire simulations using historical weather data from 2011 – 2020 and downscaled climate projection ensembles from 2048 – 2057 and assessed risk using both building footprints and parcels (Kearns and others, 2022).

Aggregated wildfire risk summary statistics at the ZIP Code, County, and Congressional District levels are available for public, noncommercial use through Amazon Web Services and on ESRI’s Living Atlas and Maps for Public Policy sites.

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Homer, C., Dewitz, J., Jin, S., Xian, G., Costello, C., Danielson, P., Gass, L., Funk, M., Wickham, J., Stehman, S., Auch, R., and Riitters, K., 2020, Conterminous United States land cover change patterns 2001–2016 from the 2016 National Land Cover Database: ISPRS Journal of Photogrammetry and Remote Sensing, v. 162, p. 184–199. https://doi.org/10.1016/j.isprsjprs.2020.02.019

Kearns, E.J., Saah, D., Levine, C.R., Lautenberger, C., Doherty, O.M., Porter, J.R., Amodeo, M., Rudeen, C., Woodward, K.D., Johnson, G.W., Markert, K., Shu, E., Freeman, N., Bauer, M., and others, 2022, The Construction of Probabilistic Wildfire Risk Estimates for Individual Real Estate Parcels for the Contiguous United States: Fire, v. 5, no. 4, p. 117. https://doi.org/10.3390/fire5040117

Thompson, M.P., Calkin, D.E., Finney, M.A., Ager, A.A., and Gilbertson-Day, J.W., 2011, Integrated national-scale assessment of wildfire risk to human and ecological values: Stochastic Environmental Research and Risk Assessment, v. 25, no. 6, p. 761–780. https://doi.org/10.1007/s00477-011-0461-0","This assessment calculated an ignition density surface using historical ignition locations (1992-2018 ignitions > 100 acres; Short 2014), and simulated fire spread up to 7 days (randomly selected per ignition) using the ELMFIRE model.",This assessment calculated property-level risk to buildings and parcels and provides community-level aggregate risk measures.,https://assets.firststreet.org/uploads/2022/05/First_Street_Foundation_Wildfire_Technical_Methodology.pdf,,,https://firststreet.org/,First Street Foundation,First Street Foundation,20230215,no,risk,1,0,0,0,0,0,0,0,0,0,2016,1992-2018,604.3303674,821.6662416
9,Federal Emergency Management Agency National Risk Index: Wildfire,Conterminous United States,270,"The Federal Emergency Management Agency compiled the National Risk Index to help identify U.S. communities most at risk for 18 natural hazards, including wildfires. The index was designed to help communities understand their risk for natural hazards, update emergency plans, allocate resources, educate community members, and identify needs for more refined risk assessments. This assessment used wildfire events data from 1996-2019 to calculate a historical loss ratio, which is the average rate of loss associated with a wildfire occurrence in each location. Then, wildfire risk and potential loss were calculated by combining the loss rates with population and agricultural data and 270-m resolution FSim-generated burn probability and flame length predictions (Finney and others, 2011; Short and others, 2016) to determine communities' vulnerability to wildfires.  This assessment is unique because it considers social vulnerability and community resilience in risk calculations. The assessment generated risk indices for Census tracts and counties.  This report and the data used are available to the public on FEMA's website. 

Finney, M.A., McHugh, C.W., Grenfell, I.C., Riley, K.L., and Short, K.C., 2011, A simulation of probabilistic wildfire risk components for the continental United States: Stochastic Environmental Research and Risk Assessment, v. 25, no. 7, p. 973–1000. https://doi.org/10.1007/s00477-011-0462-z

Short, K.C., Finney, M.A., Scott, J.H., Gilbertson-Day, J.W., and Grenfell, I.C., 2016, Spatial dataset of probabilistic wildfire risk components for the conterminous United States: https://www.fs.usda.gov/rds/archive/Catalog/RDS-2016-0034","This assessment predicted burn probability and flame lengths from the FSim large-fire simulator at 270-m resolution across the conterminous United States. This assessment translated exposure (e.g., number of homes in wildfires) to losses (e.g., number of homes destroyed in wildfires) using historical, observed loss rates.","This assessment calculated expected annual losses for agriculture, housing, and population in dollar amounts using the 2010 Census housing and population data, the 2018 Hazus 4.2 Service Pack for 2018 valuations of homes, and the 2017 Census of Agriculture values downscaled using the USDA CropScape 2017 data.",https://www.fema.gov/sites/default/files/documents/fema_national-risk-index_technical-documentation.pdf,https://www.arcgis.com/home/user.html?user=FEMA_NationalRiskIndex,https://hazards.fema.gov/nri/map,FEMA-NRI@fema.dhs.gov,Federal Emergency Management Agency,"Federal Emergency Management Agency; FACTOR, Inc.; ABS Group, Compass JV; and CDM Smith, Compass JV",20230215,yes,risk,1,1,0,0,0,0,1,0,0,0,2014,1996-2019,604.3303674,821.6662416
10,West Wide Wildfire Risk Assessment,"17 western states, including Alaska, Arizona, California, Colorado, Hawaii, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, and Wyoming. It also included the U.S affiliated Pacific Islands (Guam, Republic of Palau, Yap and Chuuk, American Samoa, and the Commonwealth of the Northern Mariana Islands)",30,"The Sanborn Map Company produced this assessment for the Oregon Department of Forestry, Western Forestry Leadership Coalition, and Council of Western State Foresters. This assessment used previously established methods from the Southern Wildfire Risk Assessment (SWRA, 2005). The West Wide Wildfire Risk Assessment was released in March 2013 and updated in March 2016. The assessment included 17 western states (Alaska, Arizona, California, Colorado, Hawaii, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, and Wyoming) and also the U.S affiliated Pacific Islands (Guam, Republic of Palau, Yap and Chuuk, American Samoa, and the Commonwealth of the Northern Mariana Islands). Fire modeling was based on federal ignitions from the National Fire Incident Reporting System (NIFRS; 1999-2008) and state ignitions, which varied between 1999-2009 but with a maximum period of 10 years. Only fires 100 acres or larger were included. LANDFIRE 2008 v1.1.0 data represented fuels and vegetation. Additionally, a regression model predicted fire sizes. Values considered in the risk metric included housing density (WUI; 44.7% weight), forest assets (3.6%), riparian assets (4.5%), drinking water importance areas (Hydrologic Unit Code 12; 1.0%), and infrastructure assets (46.2%). Assessment outputs were produced at 30-m resolution and delivered to each state.","Fire modeling was based on federal ignitions from the National Fire Incident Reporting System (NIFRS; 1999-2008) and state ignitions, which varied between 1999-2009 but with a maximum period of 10 years. Only fires 100 acres or larger were included.","Housing density (wildland-urban interface), forest assets, riparian assets, drinking water importance areas (Hydrologic Unit Code 12), Infrastructure assets. Value weights: 46.2% infrastructure, 44.7% wildland development areas, 1.0% drinking water importance areas, 3.6% forest assets, and 4.5% riparian areas.",https://www.thewflc.org/sites/default/files/WWA_FinalReport_3-6-2016-1.pdf,,,See pages 99-101 in https://www.thewflc.org/sites/default/files/WWA_FinalReport_3-6-2016-1.pdf,The Sanborn Map Company,The Council of Western State Foresters (CWSF) and the Western Forestry Leadership Coalition (WFLC),20230215,no,risk,1,0,1,1,1,0,0,0,0,0,2008,1999-2008,909.5739914,698.9482026
