Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
217952,Acalanes,Civil,Contra Costa County,California,Briones Valley,232,37.8988136,-122.1435765,None,1/19/1981,null,null,null,null,06013,06
1935005,Adin-Lookout Division,Civil,Modoc County,California,Donica Mountain,1315,41.3102402,-121.1841885,None,9/26/2001,90010,Z5,null,null,06049,06
2378252,Agoura Hills-Malibu Division,Civil,Los Angeles County,California,Point Dume,289,34.0544159,-118.7570417,None,2/11/2008,90015,Z5,null,null,06037,06
233399,Agua Caliente,Civil,Alameda County,California,Milpitas,107,37.489382,-121.9088469,None,1/19/1981,null,null,null,null,06001,06
233400,Agua Caliente,Civil,Sonoma County,California,Glen Ellen,70,38.3513019,-122.5049815,None,1/19/1981,null,null,null,null,06097,06
1934324,Agua Caliente Indian Reservation,Civil,Riverside County,California,Palm Springs,156,33.7833983,-116.5342012,None,8/7/2001,0020R,D1,null,null,06065,06
238447,Agua Hedionda,Civil,San Diego County,California,San Luis Rey,15,33.1530938,-117.2994815,None,1/19/1981,null,null,null,null,06073,06
253652,Agua Puerca y las Trances,Civil,Santa Cruz County,California,Davenport,206,37.0624486,-122.2369142,None,1/19/1981,null,null,null,null,06087,06
253994,Aguaje de la Centinella,Civil,Los Angeles County,California,Inglewood,26,33.9705686,-118.3714651,None,1/19/1981,null,null,null,null,06037,06
218019,Aguajita,Civil,Santa Cruz County,California,Soquel,4,36.9846722,-121.9938506,None,1/19/1981,null,null,null,null,06087,06
1664822,Aguajito,Civil,Monterey County,California,Seaside,200,36.5682939,-121.8713417,None,1/19/1981,null,null,null,null,06053,06
233402,Aguas Frias,Civil,Butte County,California,Llano Seco,31,39.5596068,-121.8871985,None,1/19/1981,null,null,null,null,06007,06
1675839,Alameda County,Civil,Alameda County,California,Dublin,375,37.6505111,-121.918043,None,3/20/1996,99001,H1,null,null,06001,06
1935006,Alameda Division,Civil,Alameda County,California,Oakland West,1,37.7557758,-122.2742758,None,9/26/2001,90020,Z5,null,null,06001,06
1675840,Alpine County,Civil,Alpine County,California,Ebbetts Pass,2485,38.5972506,-119.820653,None,3/20/1996,99003,H1,null,null,06003,06
1935007,Alpine Division,Civil,San Diego County,California,Alpine,589,32.8342952,-116.7587903,None,9/26/2001,90030,Z5,null,null,06073,06
1935008,Alturas Division,Civil,Modoc County,California,Big Sage Reservoir,1535,41.6180827,-120.6929641,None,9/26/2001,90040,Z5,null,null,06049,06
218194,Alturas Indian Rancheria,Civil,Modoc County,California,Alturas,1333,41.4776544,-120.5244037,None,1/19/1981,0095R,D2,null,null,06049,06
1675841,Amador County,Civil,Amador County,California,Pine Grove,738,38.4463895,-120.6511156,None,3/20/1996,99005,H1,null,null,06005,06
