"","countyID","STATEFP","COUNTYFP","TRACTCE","GEOID","tractID","NAMELSAD","land_Area","water_Area","latitude","longitude","tract_avgSlope","County","county_avgElevation","avg_tempeture","avg_precipitation","EVT_LF"
"1","06037","06","037","137504","06037137504",1375.04,"Census Tract 1375.04",3837562,0,34.1480383,-118.5720594,6.18826012082129,"Los Angeles County",149,63.7,7.64,"Tree"
"2","06037","06","037","138000","06037138000",1380,"Census Tract 1380",4472196,0,34.1488008,-118.5910495,5.21502570925511,"Los Angeles County",499,63.7,7.64,"Tree"
"3","06037","06","037","139200","06037139200",1392,"Census Tract 1392",1152028,0,34.1756961,-118.5246446,0.468536154925823,"Los Angeles County",494,63.7,7.64,"Developed"
"4","06087","06","087","120901","06087120901",1209.01,"Census Tract 1209.01",18372491,0,37.0781624,-122.0154263,7.33668860015129,"Santa Cruz County",176,58.6,27.14,"Shrub"
"5","06087","06","087","120902","06087120902",1209.02,"Census Tract 1209.02",6474889,0,37.0628452,-122.0106243,5.05751357249182,"Santa Cruz County",89,58.6,27.14,"Herb"
"6","06087","06","087","121601","06087121601",1216.01,"Census Tract 1216.01",1171521,1165471,36.9564718,-121.9752387,1.19327913416267,"Santa Cruz County",19,58.6,27.14,"Tree"
"7","06087","06","087","122401","06087122401",1224.01,"Census Tract 1224.01",69996988,52281,37.0209038,-121.7807608,5.92686961304219,"Santa Cruz County",24,58.6,27.14,"Tree"
"8","06087","06","087","121602","06087121602",1216.02,"Census Tract 1216.02",882924,784189,36.9666133,-121.9601595,1.65442990052384,"Santa Cruz County",15,58.6,27.14,"Tree"
"9","06087","06","087","110503","06087110503",1105.03,"Census Tract 1105.03",958946,0,36.92759,-121.7705127,1.92138403513918,"Santa Cruz County",49,58.6,27.14,"Tree"
"10","06087","06","087","110506","06087110506",1105.06,"Census Tract 1105.06",798198,0,36.921837,-121.7774079,2.33475062572554,"Santa Cruz County",24,58.6,27.14,"Shrub"
"11","06087","06","087","110202","06087110202",1102.02,"Census Tract 1102.02",2351625,0,36.9290901,-121.75468,0.67926056511149,"Santa Cruz County",49,58.6,27.14,"Shrub"
"12","06087","06","087","110505","06087110505",1105.05,"Census Tract 1105.05",1042808,0,36.9197951,-121.765771,2.15785323354682,"Santa Cruz County",49,58.6,27.14,"Tree"
"13","06087","06","087","110201","06087110201",1102.01,"Census Tract 1102.01",609672,0,36.9201064,-121.7528993,0.572939279233482,"Santa Cruz County",49,58.6,27.14,"Tree"
"14","06087","06","087","110302","06087110302",1103.02,"Census Tract 1103.02",442380,0,36.9141769,-121.7596811,0.381725719892809,"Santa Cruz County",49,58.6,27.14,"Tree"
"15","06087","06","087","110301","06087110301",1103.01,"Census Tract 1103.01",742486,0,36.9098412,-121.752519,0.276633262200263,"Santa Cruz County",49,58.6,27.14,"Tree"
"16","06087","06","087","110401","06087110401",1104.01,"Census Tract 1104.01",3940444,0,36.9004008,-121.7665098,0.566645748780667,"Santa Cruz County",49,58.6,27.14,"Tree"
"17","06087","06","087","121701","06087121701",1217.01,"Census Tract 1217.01",1213469,0,36.9750516,-121.9604439,1.75170980822005,"Santa Cruz County",15,58.6,27.14,"Tree"
"18","06087","06","087","121702","06087121702",1217.02,"Census Tract 1217.02",1424533,0,36.9747885,-121.969755,1.19027193501563,"Santa Cruz County",21,58.6,27.14,"Tree"
"19","06087","06","087","110102","06087110102",1101.02,"Census Tract 1101.02",1090835,0,36.9173419,-121.7441342,0.227698857675899,"Santa Cruz County",49,58.6,27.14,"Tree"
"20","06087","06","087","110601","06087110601",1106.01,"Census Tract 1106.01",1730342,0,36.9247525,-121.7903393,1.34877127638349,"Santa Cruz County",47,58.6,27.14,"Tree"
"21","06087","06","087","122205","06087122205",1222.05,"Census Tract 1222.05",2677267,2066146,36.9631619,-121.89527,3.22279608809412,"Santa Cruz County",82,58.6,27.14,"Tree"
"22","06087","06","087","100801","06087100801",1008.01,"Census Tract 1008.01",1132453,0,36.9745867,-122.0182622,1.98313923039258,"Santa Cruz County",176,58.6,27.14,"Tree"
"23","06087","06","087","101002","06087101002",1010.02,"Census Tract 1010.02",1215116,834526,36.9627695,-122.0189009,0.958664898797903,"Santa Cruz County",176,58.6,27.14,"Tree"
"24","06087","06","087","121802","06087121802",1218.02,"Census Tract 1218.02",988226,0,36.9803378,-121.9508138,2.53429468543177,"Santa Cruz County",36,58.6,27.14,"Tree"
"25","06067","06","067","002300","06067002300",23,"Census Tract 23",1213095,0,38.5571708,-121.4938311,0.147310626046606,"Sacramento County",8,63.7,12.8,"Tree"
"26","06067","06","067","002400","06067002400",24,"Census Tract 24",3224718,0,38.5448312,-121.4973382,0.392131764214032,"Sacramento County",8,63.7,12.8,"Herb"
"27","06037","06","037","143200","06037143200",1432,"Census Tract 1432",957092,0,34.1494399,-118.3720618,1.32039278941904,"Los Angeles County",71,63.7,7.64,"Tree"
"28","06037","06","037","201301","06037201301",2013.01,"Census Tract 2013.01",866189,0,34.0882421,-118.1878388,4.62622013348724,"Los Angeles County",47,63.7,7.64,"Herb"
